MIMEI;LW_POSTOFFICE_ID;ID;LW_CHK_SERVICECHARGE
#860712033897876;398024;537;1
#860712033904110;398016;538;1
#860712033895987;398036;492;0
#860712033898437;398058;508;1
#860712033908418;398036;493;0
#860712033912964;398510;552;1
#860712033912774;398510;553;1
#860712033912378;398516;554;1
#860712033900068;399900;576;1
#860712033895862;398532;577;1
#860712033895672;398515;555;1
#860712033895656;398515;556;1
#860712033898429;398504;578;1
#860712033895201;398526;509;1
#860712033907576;398540;579;1
#860712033896944;398513;580;1
#860712033896274;398502;581;1
#860712033907501;398509;582;1
#860712033907550;398507;515;1
#860712033898841;398532;583;1
#860712033895318;398522;584;1
#860712033896597;398523;585;1
#860712033898353;398505;587;1
#860712033906602;398532;588;1
#860712033896613;398509;589;1
#860712033896225;398541;590;1
#860712033896415;398513;591;1
#860712033899898;398013;592;1
#860712033906362;398006;593;1
#860712033903278;398006;594;1
#860712033906594;398006;595;0
#860712033910729;398016;540;0
#860712033908137;398902;596;1
#860712033895433;398901;598;1
#860712033899864;398041;599;1
#860712033898783;398001;600;0
#860712033907808;398029;602;1
#860712033907717;398029;603;1
#860712033908590;398908;604;1
#860712033907675;398901;605;1
#860712033911396;398059;606;1
#860712033910661;398017;607;1
#860712033903146;398006;608;0
#860712033904193;398055;609;1
#860712033903443;398043;611;1
#860712033907725;398059;620;1
#860712033898312;398001;612;1
#860712033900654;398005;613;1
#860712033908079;398037;614;1
#860712033907634;398902;615;1
#860712033906735;399776;616;1
#860712033912196;399776;617;1
#860712033897884;398507;510;1
#860712033895722;398501;516;1
#860712033904573;398016;541;1
#860712033899724;398015;621;1
#860712033899047;399670;622;1
#860712033899625;399663;623;1
#860712033899849;399670;624;1
#860712033903831;399611;625;1
#860712033903757;399610;626;1
#860712033900043;399140;627;1
#860712033908756;398043;637;0
#860712033895920;399777;638;1
#860712033912527;399852;655;0
#860712033907667;399785;628;1
#860712033907600;399785;639;1
#860712033915769;399851;640;0
#860712033907931;399782;641;0
#860712033899641;399056;642;1
#860712033916148;399851;643;1
#860712033899757;399430;656;1
#860712033914572;399083;657;1
#860712033903898;399627;542;1
#860712033898320;399430;644;1
#860712033907907;398043;658;1
#860712033907790;399784;629;1
#860712033900613;399050;659;0
#860712033899633;399061;660;1
#860712033916999;399085;661;1
#860712033916049;399850;662;0
#860712033900662;399171;663;1
#860712033914838;399773;664;1
#860712033917716;399773;665;1
#860712033898445;399850;666;0
#860712033895987;398035;630;1
#860712033898981;399774;667;1
#860712033912972;399852;645;0
#860712033911693;399772;668;0
#860712033897892;399774;669;1
#860712033916213;399850;670;1
#860712033915066;399851;646;0
#860712033915983;399835;671;0
#860712033900795;399417;647;1
#860712033916015;399854;672;0
#860712033912006;399851;648;1
#860712033904797;399785;649;1
#860712033904375;398059;673;1
#860712033905752;398059;674;1
#860712033914697;398016;543;0
#860712033898502;399077;650;1
#860712033903658;399510;675;1
#860712033908004;398043;676;0
#860712033922914;399085;677;1
#860712033903252;398006;678;0
#860712033898486;399430;679;1
#860712033900084;399900;680;1
#860712033909218;399430;681;1
#860712033912790;399852;651;0
#860712033899823;398036;776;1
#860712033907741;399783;631;0
#860712033895821;398001;632;1
#860712033908723;399853;652;0
#860712033896563;398524;544;1
#860712033916148;399853;653;0
#860712033900001;399410;654;1
#860712033899880;399783;633;0
#860712033898635;398005;634;1
#860712033907402;398046;545;1
#860712033899831;398005;635;1
#860712033908566;398501;517;1
#860712033920272;398542;546;1
#860712033907535;398004;683;1
#860712033896290;398530;684;1
#860712033908244;398056;685;1
#860712033900019;399870;686;0
#860712033895961;398027;687;1
#860712033896001;398542;547;1
#860712033895854;398520;689;1
#860712033901058;399870;690;0
#860712033895706;399773;692;1
#860712033896423;398560;693;1
#860712033913087;399772;694;0
#860712033899708;398013;696;1
#860712033912865;399772;697;0
#860712033896241;398550;698;1
#860712033904029;399773;699;1
#860712033908103;398043;700;0
#860712033903484;399773;701;1
#860712033905778;398531;702;1
#860712033907857;398055;703;0
#860712033896159;398526;704;1
#860712033906719;398008;705;1
#860712033905125;398011;706;1
#860712033900035;399770;707;1
#860712033901074;399770;708;0
#860712033900738;399770;709;0
#860712033901041;399770;711;1
#860712033903849;399787;712;1
#860712033901090;399770;713;0
#860712033909143;399777;714;1
#860712033901280;399771;716;1
#860712033899716;399780;717;1
#860712033901017;399771;718;1
#860712033901082;399771;719;1
#860712033899740;399780;720;1
#860712033898619;399780;721;1
#860712033903690;399778;725;1
#860712033897389;399778;726;1
#860712033912691;399776;727;1
#352717094673459;399782;728;0
#860712033900027;399900;729;1
#860712033899781;399782;730;0
#860712033914937;399573;731;1
#860712033897397;399350;738;1
#860712033909655;399151;732;1
#860712033896720;399361;739;1
#860712033907626;399573;733;1
#860712033900258;399902;740;1
#860712033902908;399370;741;1
#860712033898809;399902;742;1
#860712033897447;399268;743;1
#860712033900076;399140;744;1
#860712033907980;399784;735;1
#860712033906768;399372;745;1
#860712033902254;399200;746;0
#860712033898395;399260;736;1
#860712033895789;399260;737;1
#860712033912832;399200;747;0
#860712033906776;399372;748;1
#860712033900688;399910;749;1
#860712033896340;399333;750;1
#860712033899658;399947;751;1
#860712033932251;399553;752;1
#860712033909747;399940;753;1
#860712033903369;399510;754;1
#860712033909978;399940;755;1
#860712033898791;399525;756;1
#860712033900241;399949;757;1
#860712033903302;399514;758;1
#860712033901066;399580;760;1
#860712033897348;399558;761;1
#860712033900506;399556;762;1
#860712033897942;399570;763;1
#860712033903583;399591;764;1
#860712033900647;399949;765;1
#860712033910075;398504;766;1
#860712033911750;399833;768;0
#860712033907485;399544;770;1
#860712033899575;398035;771;1
#860712033906891;398032;773;1
#860712033909168;398035;777;1
#860712033898213;399170;775;1
#860712033906602;398005;778;1
#860712033900712;399870;779;0
#860712033909168;398035;785;1
#860712033899823;398043;883;1
#860712033903302;399514;915;1
#860712033895722;398000;984;1
#860712033901033;399870;1026;0
#860712033896720;399330;1033;1
#860712033900001;399422;1041;1
#860712033900746;399870;1042;0
#860712033900688;399910;1055;1
#860712033900076;399140;1056;1
#860712033915249;399544;1057;1
#860712033899633;399061;1059;1
#860712033899658;399947;1060;1
#860712033906776;399371;1061;0
#860712033904185;399081;1063;1
#860712033900795;399417;1066;1
#860712033899625;399663;1069;1
#860712033909218;399451;1077;1
#860712033904185;399081;1078;1
#860712033900795;399417;1079;1
#860712033908251;398035;1083;0
#860712033898502;399077;1082;1
#860712033899641;399056;1075;1
#860712033899807;399420;1076;1
#860712033916999;399058;1096;1
#860712033898619;399780;1118;1
#860712033900902;399174;1099;1
#860712033915033;398007;1085;1
#860712033900241;399903;1086;1
#860712033907774;398035;1084;1
#860712033896225;398000;1094;1
#358992080230085;398000;1090;1
#860712033897447;399268;1087;1
#860712033903773;399162;1097;1
#860712033900043;399140;1098;1
#358992080274182;398000;1088;1
#356396070042546;398000;1092;1
#860712033938159;399821;1110;0
#860712033896563;398524;1093;1
#860712033898213;399170;1102;1
#860712033915231;399831;1113;0
#860712033911750;399833;1114;0
#860712033916148;399844;1112;1
#860712033933945;399892;1111;1
#860712033922609;399171;1101;1
#860712033908582;399140;1095;1
#860712033900092;399676;1103;1
#860712033903740;399621;1104;1
#860712033915983;399835;1120;0
#860712033907626;399770;1123;1
#860712033895813;399940;1132;1
#860712033903435;399412;1133;1
#860712033903666;399420;1134;1
#860712033913434;399580;1135;1
#860712033907725;399547;1136;1
#860712033898312;399092;1128;1
#352717094673459;398501;1126;1
#860712033895763;399360;1129;0
#860712033900654;399072;1137;1
#860712033899153;399563;1130;1
#860712033898635;399040;1138;0
#860712033899096;399540;1139;1
#860712033897876;399240;1131;1
#860712033908954;399266;1140;0
#860712033899609;399550;1141;1
#860712033907733;399514;1142;1
#860712033895821;399430;1143;1
#860712033916874;399071;1144;1
#860712033911388;399500;1145;1
#860712033907634;399881;1146;0
#860712033907717;399220;1147;1
#860712033898627;399660;1148;1
#860712033899575;399782;1127;0
#860712033899898;399059;1149;1
#860712033907808;399210;1150;0
#860712033895433;399551;1151;1
#860712033904813;399588;1152;1
#860712033903427;399878;1153;1
#860712033905745;399510;1154;1
#860712033895722;398501;1155;1
#860712033904573;398002;1156;0
#860712033912378;398505;1157;1
#860712033898437;398914;1158;1
#860712033904193;398508;1159;1
#860712033905752;398070;1160;1
#860712033906602;398560;1161;1
#860712033915512;398540;1163;1
#860712033895912;399681;1165;1
#860712033915512;398540;1164;1
#860712033903898;398000;1168;1
#860712033903583;399552;1170;1
#357007081381984;398038;1172;1
#860712033916130;398007;1177;1
#860712033902460;399053;1179;1
#860712033895987;398036;1178;1
#860712033908244;398056;1180;1
#860712033903898;398070;1181;1
#860712033898593;398908;1183;1
#860712033907626;399573;1190;1
#860712033896274;398502;1182;1
#860712033897447;399268;1191;1
#860712033900092;399676;1193;1
#860712033903757;399610;1194;1
#860712033903625;399626;1196;1
#860712033904706;398550;1197;1
